created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
15/10/2020 00:00,1.32E+18,"#Elecciones2020 | En #Florida: #JoeBiden dice que #DonaldTrump solo se preocupa por él mismo. El demócrata fue anfitrión de encuentros de electores en #PembrokePines y #Miramar. Clic AQUÍ ⬇️⬇️⬇️
⠀
🌐https://t.co/qhIWpIUXsT
_
#ElSolLatino #yobrilloconelsol https://t.co/6FlCBWf1Mi",0,0,TweetDeck,360666534,El Sol Latino News,elsollatinonews,"🌐 Noticias de interés para latinos de la costa este de #EEUU
⠀⏹️ Facebook e Instagram
⠀🏙️ Philadelphia: /elsollatinonewspaper
⠀🌅 Miami: /elsollatinonewsmiami",23/08/2011 15:33,1860,"Philadelphia, PA / Miami, FL",25.77427,-80.19366,,United States of America,North America,Florida,FL,21/10/2020 00:00
15/10/2020 00:00,1.32E+18,#HunterBiden #HunterBidenEmails #JoeBiden #JoeBidenMustStepDown https://t.co/9enmxWvePm,0,0,Twitter for iPad,809904438,Cheri A. 🇺🇸,Biloximeemaw,"Locked and loaded Meemaw. Love God, my family and my country. I will fight til my last breath for my children and grand children's freedoms. Trump2020",08/09/2012 01:03,6628,,,,,,,,,00:00.5
15/10/2020 00:00,1.32E+18,"@IslandGirlPRV @BradBeauregardJ @MeidasTouch This is how #Biden made his ! #TrumpIsNotAmerica !
https://t.co/uBqAFU86Ip",0,0,Twitter Web App,3494182277,Flag Waver,Flag_Wavers,,30/08/2015 19:38,1536,Golden Valley Arizona,46.3040364,-109.1714312,,United States of America,North America,Montana,MT,00:01.0
15/10/2020 00:00,1.32E+18,@chrislongview Watching and setting dvr. Let’s give him bonus ratings!! #JoeBiden,0,0,Twitter for iPhone,8.24E+17,Michelle Ferg,MichelleFerg4,,25/01/2017 14:16,27,,,,,,,,,00:01.6
15/10/2020 00:00,1.32E+18,#censorship #HunterBiden #Biden #BidenEmails #BidenEmail #Corruption https://t.co/C6clrtshQl,1,0,Twitter Web App,1.03E+18,the Gold State,theegoldstate,"A Silicon Valley #independent #News #Media #Startup
 *If you have any tips you'd like us to cover, please DM or tag us*",24/08/2018 01:49,390,"California, USA",36.7014631,-118.7559974,,United States of America,North America,California,CA,00:02.1
15/10/2020 00:00,1.32E+18,"""IS THIS WRONG??!!"" Cory Booker's BRILLIANT Final Questioning of Trump Nominee Amy Coney Barrett https://t.co/gCTvVLl4CS
#AmyConeyBarrett #CoryBooker #Barrett #Booker #Trump #KamalaHarris #JoeBiden #SCOTUS #SupremeCourtConfirmation",0,0,Twitter Web App,305727891,Dose of Dissonance,Dose_Dissonance,YOUTUBE CHANNEL: https://t.co/EFnKm5gnvV MERCHANDISE: https://t.co/FGCY7YPDGk,26/05/2011 18:09,4622,,,,,,,,,00:02.6
15/10/2020 00:00,1.32E+18,"In 2020, #NYPost is being #censorship #CENSORED by Twitter to manipulate a US election in favor of #JoeBiden and against #Trump.

but CCP from #China or porn on Twitter? 

That’s always been fine for @jack @vijaya @dickc @KatieS.

@marciadorsey is @jack sick?",0,0,Twitter for iPhone,19940334,Change Illinois | Biden will increase taxes by $4T,changeillinois,"Illinois, home of Lincoln and Reagan, used to be crossroads of America. Now, it's epicenter of political mafia, corruption and #ChicagoWay. #ChangeIllinois",02/02/2009 23:08,1397,"Chicago, Illinois",41.8755616,-87.6244212,Chicago,United States of America,North America,Illinois,IL,00:03.1
15/10/2020 00:00,1.32E+18,►► Tell Politicians to STICK IT with this FREE Item! ►► https://t.co/sua2FPNJTS ►► #2020 #Biden #Deomocrat #Election #Politician #Politics #President #Republican #Trump #VPDebate ►► @FreebieDepot https://t.co/QTRW3eMtd0,0,0,Freebie-Depot,103083214,🆓 Freebie Depot,FreebieDepot,"Free Stuff - No Fluff!  Get all kinds of FREE Stuff, FREE Samples, FREE Calendars, FREE Coupons, FREE, FREE, FREE! #freebies #freestuff #free #frugal #samples",08/01/2010 20:44,6402,USA - Land of the FREE!,,,,,,,,00:03.6
15/10/2020 00:00,1.32E+18,#Biden https://t.co/qMs0PmUev5,0,0,Twitter Web App,1.27E+18,Kenneth,Kennethuteliv,,15/06/2020 16:35,103,,,,,,,,,00:04.1
15/10/2020 00:00,1.32E+18,"Proof  Bidens are crooked. Twitter will suspend me for sharing https://t.co/LUbPCbROEp
#Biden
#crookedBiden
#ukraniancollusion 
#Democrats
#HunterBidenEmails",1,1,Twitter for Android,1.28E+18,Jake Rivendale,JakeRivendale,,24/06/2020 05:15,80,,,,,,,,,00:04.7
15/10/2020 00:00,1.32E+18,"Now Open! Create a FREE U.S. Election Pick'em Pool. Add some excitement to the potential chaos. Pick who you think will become President, who will win the Swing States, the popular vote, and more!
🇺🇲https://t.co/W6FKnaXVMT
#MAGA2020 #Trump #Biden #Politics #USElection2020 https://t.co/NwNfiZsy53",0,0,Hootsuite Inc.,21932049,OfficePools.com,officepools_com,Visit https://t.co/CdmWfqRMIS to play now! #fantasyhockey #fantasysports #hockeypool #footballpool #NHLpool #golfpool,25/02/2009 22:52,967,,,,,,,,,00:05.2
15/10/2020 00:00,1.32E+18,"FBI Allegedly Obtained Hunter Biden Computer, Data on Ukraine Dealings, Report Claims #JoeBiden #HunterBiden https://t.co/pDNmB0NqRU",0,0,Twitter for Android,9.61E+17,RLCompton,NewfoundStudio,"""There are things known and there are things unknown, and in between are the doors of perception."" Aldous Huxley",06/02/2018 04:55,266,"Kentucky, USA",37.5726028,-85.1551411,,United States of America,North America,Kentucky,KY,00:05.7
15/10/2020 00:01,1.32E+18,#JoeBiden was the point man https://t.co/dOTKamtths,0,1,Twitter for Android,1.24E+18,Lilmissnoname,TwiggyTulip65,Proud Republican who loves God and my Country. I stand for our Flag and respect and back the Blue.,18/03/2020 13:28,190,,,,,,,,,00:06.2
15/10/2020 00:01,1.32E+18,Y’all Just Locking Up Accounts Cause YALL Dont Want The Truth To Come Out About #Biden That’s Crazy Af https://t.co/uNvYFeVTU9,0,0,ReverbNation,83410481,🆎➕TÿÇkØ🇧🇸 🐲🐉🦂♏️,HipHopMatrix,#ARAWAK (https://t.co/l15AfNW4e6) (IG:Tycko_Lightbourne) (https://t.co/pvLhNydoZo)(https://t.co/sBScPksl8L) (JahSonTycko88@gmail.com),18/10/2009 18:07,4373,H-Town,,,,,,,,00:06.7
15/10/2020 00:01,1.32E+18,@tedcruz @cc125 #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse! https://t.co/jcccPhWtgY,1,0,Twitter Web App,1.31E+18,Infamous One,InfamousOne13,"""The company you keep can have a major impact on your life."" 
 - Semper Fi -",27/09/2020 02:14,360,,,,,,,,,00:07.3
15/10/2020 00:01,1.32E+18,#IceCube isn’t a sellout how long are black people going to vote for Democrats and they do nothing for us look up what #Democrats really mean it means satan #JoeBiden admitted to #Pedophilia  #TRUMP2020ToSaveAmerica https://t.co/uAI1Iw07i5,1,1,Twitter for iPhone,285131934,𝓐𝓵𝓮𝔁𝓲𝓪 𝓜𝓪𝓻𝓲𝓮𝓮🧘🏾‍♀️🦋✨,alexiamariee_,snap: 𝒜𝓁𝑒𝓍𝒾𝒶𝓂𝒶𝓇𝒾𝑒𝟤𝟨 ig: 𝒜𝓁𝑒𝓍𝒾𝒶𝓂𝒶𝓇𝒾𝑒𝑒. 🕊🙏🏾Kavoucia Davis. #studentnurse ☤/ #futurerealator🏚,20/04/2011 15:50,582,🇨🇱🇧🇸,,,,,,,,00:08.3
